image_size,batch,latency_s,memory_bytes,energy_j,flops_profiler,flops_predicted,memory_predicted_bytes,status,is_validation,energy_method
128,256,0.012712032318115234,297893888,0.910063290897804,74378208256.0,74378208256.0,222265104.0,OK,0,nvml_counter
224,1,0.00024086399376392365,16093184,0.02065871869840144,889131364.0,889131364.0,6770448.0,OK,0,nvml_counter
224,2,0.000340256005525589,19505152,0.031019054107335037,1778262728.0,1778262728.0,9379600.0,OK,0,nvml_counter
224,4,0.0005738239884376526,26329088,0.05001204819495966,3556525456.0,3556525456.0,14597904.0,OK,0,nvml_counter
224,8,0.0011340160369873048,39976960,0.10635600906380721,7113050912.0,7113050912.0,25034512.0,OK,0,nvml_counter
224,16,0.001899392008781433,67731456,0.16571347242967002,14226101824.0,14226101824.0,45907728.0,OK,0,nvml_counter
224,32,0.0038495678901672363,122912768,0.27769999985511484,28452203648.0,28452203648.0,87654160.0,OK,0,nvml_counter
224,33,0.004093247890472412,126046208,0.29489795918367345,29341335012.0,29341335012.0,90263312.0,OK,1,nvml_counter
224,64,0.009713760375976562,267952128,0.698262135959366,56904407296.0,56904407296.0,171147024.0,OK,0,nvml_counter
224,128,0.019756671905517578,450985984,1.5515294121760947,113808814592.0,113808814592.0,338132752.0,OK,0,nvml_counter
224,229,0.036251136779785156,795607040,2.6870625000447035,203611082356.0,203611082356.0,601657104.0,OK,1,nvml_counter
224,252,0.04178179168701172,872628224,3.1478124987334013,224061103728.0,224061103728.0,661667600.0,OK,1,nvml_counter
224,256,0.04015264129638672,887193600,3.1480937488377094,227617629184.0,227617629184.0,672104208.0,OK,0,nvml_counter
256,1,0.0002828480005264282,17137664,0.022754524897666,1161218404.0,1161218404.0,7569168.0,OK,0,nvml_counter
256,2,0.0004294719994068146,21594112,0.039522971217342585,2322436808.0,2322436808.0,10977040.0,OK,0,nvml_counter
256,4,0.0007385280132293701,31162368,0.06820073800773198,4644873616.0,4644873616.0,17792784.0,OK,0,nvml_counter
256,8,0.0012962239980697631,48332800,0.11270336783611713,9289747232.0,9289747232.0,31424272.0,OK,0,nvml_counter
256,16,0.002906559944152832,83984384,0.23062608691229336,18579494464.0,18579494464.0,58687248.0,OK,0,nvml_counter
256,32,0.005636832237243652,155287552,0.4465393259953917,37158988928.0,37158988928.0,113213200.0,OK,0,nvml_counter
256,33,0.006004831790924072,160792576,0.43208383228964437,38320207332.0,38320207332.0,116621072.0,OK,1,nvml_counter
256,64,0.02349331283569336,709140480,1.6706744196803072,74317977856.0,74317977856.0,222265104.0,OK,0,nvml_counter
256,128,0.025951839447021483,583106560,2.0303333340547023,148635955712.0,148635955712.0,440368912.0,OK,0,nvml_counter
256,229,0.04721145629882813,1034518528,3.603312499821186,265919014516.0,265919014516.0,784563984.0,OK,1,nvml_counter
256,252,0.05259619140625,1136754688,3.8132187500596046,292627037808.0,292627037808.0,862945040.0,OK,1,nvml_counter
256,256,0.05340371322631836,1153531904,3.8192812502384186,297271911424.0,297271911424.0,876576528.0,OK,0,nvml_counter
272,1,0.0002948159873485565,17712128,0.027031249999297114,1310866276.0,1310866276.0,8008464.0,OK,1,nvml_counter
272,2,0.0004596799910068512,22773760,0.042282169109539074,2621732552.0,2621732552.0,11855632.0,OK,1,nvml_counter
272,4,0.0008194559812545777,32804864,0.07770925472253273,5243465104.0,5243465104.0,19549968.0,OK,1,nvml_counter
272,8,0.0014181120395660401,52928512,0.12300424923640135,10486930208.0,10486930208.0,34938640.0,OK,1,nvml_counter
272,16,0.0034512319564819335,94273536,0.273489655297378,20973860416.0,20973860416.0,65715984.0,OK,1,nvml_counter
272,32,0.006487232208251953,174620672,0.46620645138525196,41947720832.0,41947720832.0,127270672.0,OK,1,nvml_counter
272,33,0.0081976318359375,179546112,0.5889999998397515,43258587108.0,43258587108.0,131117840.0,OK,1,nvml_counter
272,64,0.024823583602905274,728604672,1.7395853661909335,83895441664.0,83895441664.0,250380048.0,OK,1,nvml_counter
272,128,0.029779455184936524,657686528,2.1137058822547687,167790883328.0,167790883328.0,496598800.0,OK,1,nvml_counter
272,229,0.05477996826171875,1166659584,4.041500000283122,300188377204.0,300188377204.0,885162768.0,OK,1,nvml_counter
272,252,0.06883744049072266,1281138688,4.9264062494039536,330338301552.0,330338301552.0,973647632.0,OK,1,nvml_counter
272,256,0.06068931198120117,1301643264,4.487624999135733,335581766656.0,335581766656.0,989036304.0,OK,1,nvml_counter
368,1,0.0004498879909515381,22773760,0.042031039137374805,2399214436.0,2399214436.0,11203344.0,OK,1,nvml_counter
368,2,0.0007900800108909607,31440896,0.07290995257537324,4798428872.0,4798428872.0,18245392.0,OK,1,nvml_counter
368,4,0.001316864013671875,49516544,0.12409868420738923,9596857744.0,9596857744.0,32329488.0,OK,1,nvml_counter
368,8,0.0031354560852050782,87334912,0.24976175556362235,19193715488.0,19193715488.0,60497680.0,OK,1,nvml_counter
368,16,0.007235072135925293,161005568,0.5177769785304721,38387430976.0,38387430976.0,116834064.0,OK,1,nvml_counter
368,32,0.01240982437133789,308772864,0.8858271609117956,76774861952.0,76774861952.0,229506832.0,OK,1,nvml_counter
368,33,0.016670175552368164,317470720,1.1977333337068559,79174076388.0,79174076388.0,236548880.0,OK,1,nvml_counter
368,64,0.03560217666625977,871014400,2.462593749165535,153549723904.0,153549723904.0,454852368.0,OK,1,nvml_counter
368,128,0.05601257705688477,1192460288,4.2630312498658895,307099447808.0,307099447808.0,905543440.0,OK,1,nvml_counter
368,229,0.10965436553955078,2122335232,7.860750000923872,549420105844.0,549420105844.0,1616790288.0,OK,1,nvml_counter
368,252,0.12839935302734376,2333863936,9.194624999538064,604602037872.0,604602037872.0,1778757392.0,OK,1,nvml_counter
368,256,0.11632466888427734,2371190784,8.305562499910593,614198895616.0,614198895616.0,1806925584.0,OK,1,nvml_counter
384,1,0.0004581440091133118,22773760,0.039965643611895724,2612349284.0,2612349284.0,11829008.0,OK,0,nvml_counter
384,2,0.0007924799919128418,32735232,0.07422503961247234,5224698568.0,5224698568.0,19496720.0,OK,0,nvml_counter
384,4,0.0013812160491943359,52789248,0.1308549724066455,10449397136.0,10449397136.0,34832144.0,OK,0,nvml_counter
384,8,0.0034393279552459716,94076928,0.27689347090999694,20898794272.0,20898794272.0,65502992.0,OK,0,nvml_counter
384,16,0.007675072193145752,174161920,0.6051755724972441,41797588544.0,41797588544.0,126844688.0,OK,0,nvml_counter
384,32,0.01315062427520752,333545472,0.9349610387504875,83595177088.0,83595177088.0,249528080.0,OK,0,nvml_counter
384,33,0.014116928100585938,344817664,1.0123239436619718,86207526372.0,86207526372.0,257195792.0,OK,1,nvml_counter
384,64,0.03719401550292969,897884160,2.6839374992996454,167190354176.0,167190354176.0,494894864.0,OK,0,nvml_counter
384,128,0.06103577423095703,1296138240,4.4853125009685755,334380708352.0,334380708352.0,985628432.0,OK,0,nvml_counter
384,229,0.11143551635742187,2310045696,8.090281249955297,598227986036.0,598227986036.0,1760067344.0,OK,1,nvml_counter
384,252,0.12201200103759766,2541846528,8.75746874883771,658312019568.0,658312019568.0,1936424720.0,OK,1,nvml_counter
384,256,0.1246157455444336,2579595264,8.98475000075996,668761416704.0,668761416704.0,1967095568.0,OK,0,nvml_counter
448,1,0.0005834559798240662,26329088,0.054289381555526095,3555584356.0,3555584356.0,14597904.0,OK,1,nvml_counter
448,2,0.0010560959577560424,39976960,0.09974128832409224,7111168712.0,7111168712.0,25034512.0,OK,1,nvml_counter
448,4,0.0018347200155258178,67731456,0.17195970704267313,14222337424.0,14222337424.0,45907728.0,OK,1,nvml_counter
448,8,0.005227392196655274,122912768,0.3752031248683731,28444674848.0,28444674848.0,87654160.0,OK,1,nvml_counter
